strategy_id,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_trend_follow_v1,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,BUY,23,FILLED,233.48,233.44,1.78,0.75,1.34,0.0,-0.95,-2.3,99997.7,94628.65
core_trend_follow_v1,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,22,FILLED,232.3,232.34,1.79,0.75,1.28,-26.0,-1.14,-15.05,99970.24,99737.9
core_trend_follow_v1,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,22,FILLED,232.89,232.93,1.79,0.75,1.28,-0.59,-0.88,-1.6,99968.64,104860.24
