strategy_id,symbol,side,qty,status,price,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_trend_follow_v1,NSE:INFY-EQ,SELL,40,FILLED,145.0819,0.85,1.4508,0.0,-1.016,-2.4668,99997.53,105801.83
core_trend_follow_v1,NSE:INFY-EQ,SELL,40,FILLED,145.2765,0.85,1.4528,0.0,-9.824,-10.2608,99987.27,111611.43
core_trend_follow_v1,NSE:SBIN-EQ,SELL,28,FILLED,203.837,0.85,1.4269,0.0,14.8188,23.2159,100010.49,117317.44
core_trend_follow_v1,NSE:SBIN-EQ,SELL,27,FILLED,204.377,0.85,1.3795,0.0,-22.929,-39.1278,99971.36,122834.24
core_trend_follow_v1,NSE:SBIN-EQ,SELL,28,FILLED,204.117,0.85,1.4288,0.0,-0.7534,20.749,99992.11,128548.09
core_trend_follow_v1,NSE:INFY-EQ,SELL,40,FILLED,144.7259,0.85,1.4473,0.0,97.0559,96.362,100088.47,134335.68
core_trend_follow_v1,NSE:INFY-EQ,SELL,18,FILLED,144.5651,0.85,0.6505,0.0,98.4506,0.7454,100089.22,136937.2
core_trend_follow_v1,NSE:SBIN-EQ,SELL,15,FILLED,203.0306,0.85,0.7614,0.0,178.5212,-29.5117,100168.53,139981.9
