strategy_id,symbol,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,14,FILLED,403.54,403.47,1.75,0.75,1.41,0.0,-0.99,-2.4,99997.6,94348.98
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,14,FILLED,403.0,402.93,1.75,0.75,1.41,0.0,-9.58,-10.0,99987.59,88705.57
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,14,FILLED,404.41,404.34,1.76,0.75,1.42,0.0,28.85,37.02,100024.61,83042.43
core_trend_follow_v1,NSE:RELIANCE-EQ,BUY,7,FILLED,405.36,405.29,1.76,0.75,0.71,0.0,68.32,38.76,100063.37,80204.19
